BIN,BankName,CardScheme
113012,TURKIYE HALK BANKASI A.S.,AMEX
113015,TURKIYE VAKIFLAR BANKASI T.A.O.,AMEX
113032,TURK EKONOMI BANKASI A.S.,AMEX
113059,SEKERBANK T.A.S.,AMEX
113064,TURKIYE IS BANKASI A.S.,AMEX
113134,DENIZBANK A.S.,AMEX
365770,ALTERNATİF BANK A.S.,TROY
365771,ALTERNATİF BANK A.S.,TROY
365772,ALTERNATİF BANK A.S.,TROY
365773,ALTERNATİF BANK A.S.,TROY
374421,TURKIYE GARANTI BANKASI A.S.,AMEX
374422,TURKIYE GARANTI BANKASI A.S.,AMEX
374423,TURKIYE GARANTI BANKASI A.S.,AMEX
374424,TURKIYE GARANTI BANKASI A.S.,AMEX
374425,TURKIYE GARANTI BANKASI A.S.,AMEX
374426,TURKIYE GARANTI BANKASI A.S.,AMEX
374427,TURKIYE GARANTI BANKASI A.S.,AMEX
374428,TURKIYE GARANTI BANKASI A.S.,AMEX
375622,TURKIYE GARANTI BANKASI A.S.,AMEX
375623,TURKIYE GARANTI BANKASI A.S.,AMEX
375624,TURKIYE GARANTI BANKASI A.S.,AMEX
375625,TURKIYE GARANTI BANKASI A.S.,AMEX
375626,TURKIYE GARANTI BANKASI A.S.,AMEX
375627,TURKIYE GARANTI BANKASI A.S.,AMEX
375628,TURKIYE GARANTI BANKASI A.S.,AMEX
375629,TURKIYE GARANTI BANKASI A.S.,AMEX
375630,TURKIYE GARANTI BANKASI A.S.,AMEX
375631,TURKIYE GARANTI BANKASI A.S.,AMEX
377137,TURKIYE GARANTI BANKASI A.S.,AMEX
377596,TURKIYE GARANTI BANKASI A.S.,AMEX
377597,TURKIYE GARANTI BANKASI A.S.,AMEX
377598,TURKIYE GARANTI BANKASI A.S.,AMEX
377599,TURKIYE GARANTI BANKASI A.S.,AMEX
400684,ING BANK A.S.,VISA
400742,TURKIYE FINANS KATILIM BANKASI  A.S.,VISA
401049,TURKIYE HALK BANKASI A.S.,VISA
401072,QNB FINANSBANK A.S.,VISA
401622,YAPI VE KREDI BANKASI A.S.,VISA
401738,TURKIYE GARANTI BANKASI A.S.,VISA
402142,TURK EKONOMI BANKASI A.S.,VISA
402277,QNB FINANSBANK A.S.,VISA
402278,QNB FINANSBANK A.S.,VISA
402458,TURK EKONOMI BANKASI A.S.,VISA
